Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,5728,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,5728,%many-values%,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,187,Accompanied Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,160,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,160,UC / Single Minors,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,1239,FMUA,all,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1239,FMUA,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,4142,Single Adults,all,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,4142,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,158575,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,158575,%many-values%,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,12647,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12647,UC / Single Minors,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,41487,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,41487,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,104441,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,104441,Single Adults,all,all
%all%,%all%,%all%,%all%,%all%,%all%,164303,%many-values%,all,all
%all%,%all%,%all%,%all%,OCT,OCT,164303,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,3891,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,3891,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,68,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,68,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,160,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,160,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,1239,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1239,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,2424,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,2424,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,66736,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,66736,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,12640,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12640,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,28179,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,28179,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,25917,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,25917,Single Adults,all,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,70627,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,70627,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,1837,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,1837,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,119,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,119,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,1718,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,1718,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,91839,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,91839,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,7,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,7,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,13308,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,13308,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,78524,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,78524,Single Adults,all,Title 42
%all%,%all%,%all%,%all%,%all%,%all%,93676,%many-values%,all,Title 42
%all%,%all%,%all%,%all%,OCT,OCT,93676,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,42,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,42,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,1,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,1,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,8,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,8,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,12,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,12,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,21,Single Adults,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,21,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,9757,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,9757,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,1665,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,1665,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,4105,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,4105,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,3987,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,3987,Single Adults,El Salvador,all
%all%,%all%,%all%,%all%,%all%,%all%,9799,%many-values%,El Salvador,all
%all%,%all%,%all%,%all%,OCT,OCT,9799,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,27,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,27,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,8,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,8,UC / Single Minors,El Salvador,Title 8
